Country,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
IN,Joshīmath,30.57,79.57,53.51,38,6,2.21,1602704729
EC,Puerto Ayora,-0.74,-90.35,77.0,73,75,8.05,1602704729
ID,Tual,-5.67,132.75,81.34,82,100,13.4,1602704730
UZ,Yangi Marg`ilon,40.43,71.72,51.8,71,0,9.17,1602704730
AU,Carnarvon,-24.87,113.63,66.2,82,0,18.34,1602704731
JP,Ishige,36.12,139.97,68.0,87,90,1.99,1602704733
CA,Yellowknife,62.46,-114.35,26.01,68,90,23.04,1602704733
RU,Mayskiy,47.69,40.1,57.2,76,0,4.47,1602704733
AU,Emerald,-23.53,148.17,62.6,88,0,6.93,1602704734
RU,Khatanga,71.97,102.5,26.06,98,100,10.76,1602704734
PT,Praia da Vitória,38.73,-27.07,70.0,88,20,4.07,1602704734
ID,Padang,-0.95,100.35,78.22,74,100,3.18,1602704735
HU,Siófok,46.9,18.06,52.0,77,96,3.0,1602704735
MX,Guerrero Negro,27.98,-114.06,86.0,35,100,5.53,1602704735
LR,Harper,4.38,-7.72,76.73,89,27,7.09,1602704735
TR,Gaziantep,37.06,37.38,69.8,60,0,8.32,1602704735
US,Jamestown,42.1,-79.24,62.01,36,1,6.93,1602704584
TR,Nevşehir,38.92,34.67,60.8,36,0,4.7,1602704690
MX,Puerto Escondido,15.85,-97.07,87.8,66,75,9.17,1602704736
CV,Vila do Maio,15.13,-23.22,78.8,88,75,12.75,1602704736
UA,Lazurne,46.08,32.53,55.4,87,0,2.24,1602704737
PT,Ribeira Grande,38.52,-28.7,69.8,83,20,9.17,1602704737
RU,Noyabrsk,63.2,75.45,30.27,93,77,11.59,1602704738
US,Saint George,37.1,-113.58,73.4,13,1,3.36,1602704439
US,Bethel,41.37,-73.41,68.0,42,1,11.41,1602704738
RU,Dikson,73.51,80.55,29.1,93,100,23.04,1602704589
RU,Rybnoye,54.73,39.51,52.0,67,100,1.99,1602704510
MX,Dulce Grande,23.0,-102.17,73.4,46,75,11.41,1602704739
MY,George Town,5.41,100.34,82.4,78,20,2.24,1602704527
ZA,Cape Town,-33.93,18.42,60.01,87,0,5.82,1602704702
RU,Valday,57.97,33.25,44.78,91,100,11.14,1602704741
CF,Ndélé,8.41,20.65,74.1,86,100,2.3,1602704741
BR,Caravelas,-17.71,-39.25,77.0,76,8,11.34,1602704741
IN,Kawardha,22.02,81.25,74.88,92,100,5.44,1602704742
CA,Terrace,54.52,-128.6,44.6,87,75,2.24,1602704742
ZA,Kruisfontein,-34.0,24.73,62.01,74,0,11.01,1602704616
CA,Sept-Îles,50.2,-66.38,48.2,100,90,8.05,1602704669
RU,Severo-Kuril'sk,50.68,156.12,42.51,71,22,8.66,1602704743
CN,Shache,38.42,77.24,42.67,60,79,1.48,1602704743
GL,Tasiilaq,65.61,-37.64,29.26,95,97,2.62,1602704744
RU,Kuril'sk,45.23,147.88,47.77,65,25,19.82,1602704744
CA,Plaster Rock,46.91,-67.39,53.6,71,90,14.99,1602704654
NZ,Ahipara,-35.17,173.17,56.52,72,16,14.05,1602704744
ES,Muros,42.78,-9.06,53.01,86,0,1.99,1602704745
IN,Khonsa,27.02,95.57,66.27,93,0,3.71,1602704745
CL,Ancud,-41.87,-73.82,59.0,44,0,8.05,1602704746
US,Wisconsin Rapids,44.38,-89.82,60.8,41,90,14.99,1602704746
KZ,Atasū,48.68,71.64,45.66,56,0,3.31,1602704746
AR,Santiago del Estero,-27.8,-64.26,69.3,62,96,12.03,1602704746
ZA,Port Alfred,-33.59,26.89,61.41,78,0,18.66,1602704747
CA,Torbay,47.67,-52.73,52.0,76,75,18.34,1602704747
HK,Hong Kong,22.29,114.16,78.01,80,89,1.01,1602704644
CN,Pingdingshan,33.74,113.3,55.15,87,100,1.05,1602704580
PG,Lorengau,-2.02,147.27,81.28,77,90,5.48,1602704749
OM,Sur,22.57,59.53,77.79,44,0,8.88,1602704749
RU,Omsukchan,62.53,155.8,30.02,96,100,1.28,1602704750
AU,New Norfolk,-42.78,147.06,51.01,77,100,3.2,1602704750
AU,Flinders,-34.58,150.86,62.01,85,90,1.01,1602704750
ZA,Bredasdorp,-34.53,20.04,57.2,87,0,1.12,1602704750
AU,Hobart,-42.88,147.33,57.2,71,75,14.99,1602704751
NA,Lüderitz,-26.65,15.16,72.97,34,0,8.19,1602704751
US,Houston,29.76,-95.36,87.8,54,20,6.44,1602704444
MX,Pochutla,15.74,-96.47,91.0,55,90,7.52,1602704751
CL,Lebu,-37.62,-73.65,55.2,66,0,16.11,1602704751
EE,Karla,59.37,24.93,51.01,71,75,10.29,1602704752
BR,Caucaia,-3.74,-38.65,86.0,55,20,14.99,1602704752
MN,Khovd,48.01,91.64,31.51,82,0,3.56,1602704752
US,Artesia,33.87,-118.08,91.99,44,1,6.93,1602704723
PH,Dingle,11.0,122.67,74.82,90,100,5.5,1602704752
ZA,East London,-33.02,27.91,62.64,71,15,16.67,1602704753
JP,Hirara,24.8,125.28,79.34,77,76,16.89,1602704753
MU,Mahébourg,-20.41,57.7,73.4,83,20,5.82,1602704753
EG,Luxor,25.7,32.64,86.0,35,0,4.7,1602704524
JP,Naze,28.37,129.48,73.4,78,20,4.7,1602704754
BR,Arraial do Cabo,-22.97,-42.03,78.8,74,47,8.05,1602704755
GB,Kirkwall,58.98,-2.96,48.2,70,100,11.41,1602704755
RU,Sosnovo-Ozerskoye,52.52,111.54,25.39,91,94,10.02,1602704755
AR,San Rafael,-34.62,-68.33,77.18,21,0,16.67,1602704620
AU,Sawtell,-30.38,153.1,50.0,93,0,1.12,1602704755
RU,Yerofey Pavlovich,53.97,121.97,20.21,90,39,2.95,1602704757
TG,Palimé,6.9,0.63,74.71,91,100,2.8,1602704757
AR,Mar del Plata,-38.0,-57.56,57.2,47,0,21.92,1602704758
ES,Bereda,43.27,-7.54,55.0,89,5,7.0,1602704758
RU,Provideniya,64.38,-173.3,32.0,92,90,6.71,1602704758
PG,Port Moresby,-9.44,147.18,78.8,83,40,14.99,1602704760
KZ,Esil,51.96,66.4,49.51,48,83,8.68,1602704760
AU,Codrington,-38.27,141.97,60.51,72,100,5.97,1602704760
MU,Souillac,-20.52,57.52,73.4,83,20,5.82,1602704761
CN,Hangu,39.25,117.79,53.6,81,0,4.47,1602704761
CA,Havre-St-Pierre,50.23,-63.6,46.4,93,90,23.04,1602704761
PE,Chicama,-7.84,-79.15,64.4,77,9,13.87,1602704762
CA,Macklin,52.33,-109.93,41.13,58,4,14.9,1602704763
US,Broome,42.25,-75.83,66.0,36,1,13.87,1602704764
IT,Province of Mantua,45.17,10.78,55.0,80,100,4.0,1602704764
AO,Mossamedes,-15.2,12.15,65.79,79,77,5.32,1602704764
MG,Sambava,-14.27,50.17,73.47,88,93,8.84,1602704764
MG,Morondava,-20.28,44.28,76.69,66,0,13.49,1602704765
US,Española,35.99,-106.08,75.0,10,1,4.7,1602704702
RU,Saskylakh,71.92,114.08,15.6,95,100,15.95,1602704766
US,Saint Paul Harbor,57.79,-152.41,42.8,81,1,4.7,1602704766
SN,Tambacounda,13.75,-13.76,89.6,70,20,4.7,1602704766
IN,Honāvar,14.28,74.45,76.53,89,95,3.02,1602704766
ID,Kaili,-3.46,120.21,68.47,93,95,3.06,1602704767
BR,Castro,-24.79,-50.01,76.62,55,100,2.57,1602704470
ES,Arroyo de la Encomienda,41.61,-4.8,52.0,53,0,9.17,1602704767
PG,Kundiawa,-6.02,144.97,61.74,76,88,1.77,1602704767
MG,Beroroha,-21.67,45.17,82.4,54,12,9.89,1602704768
RU,Kharp,66.8,65.81,31.51,95,80,8.12,1602704768
ET,Kibre Mengist,5.88,38.98,59.97,95,100,1.59,1602704768
US,Harlingen,26.19,-97.7,93.0,55,1,7.94,1602704533
BR,Ribas do Rio Pardo,-20.44,-53.76,99.64,23,50,3.94,1602704769
BF,Tougan,13.07,-3.07,90.77,27,45,4.81,1602704769
CD,Tshikapa,-6.42,20.8,70.74,92,61,0.92,1602704770
RU,Urussu,54.6,53.46,49.89,46,92,8.3,1602704770
CA,Norman Wells,65.28,-126.83,21.2,79,90,11.41,1602704770
PF,Tautira,-17.73,-149.15,75.2,88,75,14.99,1602704770
BR,Natal,-5.79,-35.21,82.4,69,75,14.99,1602704771
US,Laguna,38.42,-121.42,91.0,32,1,11.41,1602704771
US,West Wendover,40.74,-114.07,71.6,30,1,12.75,1602704771
TO,Vaini,-21.2,-175.2,73.4,73,90,9.17,1602704771
RU,Vilya,55.25,42.21,50.83,78,37,3.22,1602704772
MX,Cabo San Lucas,22.89,-109.91,89.01,70,40,12.75,1602704772
IN,Yanam,16.73,82.22,78.8,83,75,3.36,1602704773
NZ,Kaitangata,-46.28,169.85,43.0,84,1,3.0,1602704702
CV,São Filipe,14.9,-24.5,79.79,79,27,9.44,1602704774
IN,Bhādra,29.12,75.17,78.55,22,40,5.17,1602704774
CA,Campbell River,50.02,-125.24,52.0,76,75,2.24,1602704775
RU,Kamenka,51.32,42.77,54.72,47,0,9.17,1602704775
TR,Kulu,39.1,33.08,63.79,52,0,9.1,1602704775
NO,Øksfjord,70.24,22.35,37.4,86,75,19.46,1602704775
RU,Morki,56.43,48.99,51.8,72,75,3.42,1602704776
CO,Puerto Carreño,6.19,-67.49,91.67,49,0,7.4,1602704776
TZ,Kintinku,-5.88,35.23,75.2,57,20,19.46,1602704776
ZA,Upington,-28.45,21.26,78.8,21,0,3.36,1602704776
IR,Qeshm,26.96,56.27,69.8,32,0,4.7,1602704777
ID,Pringsewu,-5.36,104.97,75.13,93,85,4.54,1602704777
MG,Antsohihy,-14.88,47.99,78.17,82,2,2.75,1602704778
PE,Pisco,-13.7,-76.22,66.99,77,20,10.29,1602704779
AU,Mount Gambier,-37.83,140.77,59.0,82,100,17.22,1602704779
CL,Santiago,-33.46,-70.65,75.0,40,1,6.93,1602704490
NU,Alofi,-19.06,-169.92,75.2,60,100,9.17,1602704780
KR,Seoul,37.57,126.98,44.6,56,90,3.76,1602704591
BR,Cabedelo,-6.98,-34.83,82.4,69,75,13.87,1602704781
US,Nome,64.5,-165.41,21.2,85,40,3.36,1602704603
RU,Vostok,46.49,135.88,19.83,97,50,5.48,1602704781
CA,Shelburne,44.08,-80.2,61.0,38,1,14.99,1602704702
MX,Barra de Tecoanapa,16.52,-98.75,86.61,65,17,10.09,1602704782
RU,Aleksandrov Gay,50.15,48.57,56.79,33,95,11.27,1602704782
MM,Yamethin,20.43,96.15,74.17,86,87,2.46,1602704782
AR,Salta,-24.79,-65.41,86.0,27,75,11.41,1602704745
BR,Acaraú,-2.89,-40.12,82.2,68,90,20.62,1602704783
PT,Vila,42.03,-8.16,52.0,79,9,5.01,1602704784
PE,Pangoa,-12.12,-73.0,90.75,38,58,5.03,1602704784
RU,Bilibino,68.05,166.44,22.24,92,100,3.06,1602704784
AU,Karratha,-20.74,116.85,80.37,31,0,11.83,1602704664
RU,Aksarka,66.56,67.8,31.46,94,25,11.48,1602704785
IN,Tura,25.52,90.22,73.35,94,68,2.42,1602704785
RU,Leshukonskoye,64.9,45.76,31.15,95,5,4.32,1602704786
US,Kahului,20.89,-156.47,86.0,51,1,0.38,1602704778
US,Gainesville,29.65,-82.32,89.01,51,40,3.09,1602704704
GL,Nanortalik,60.14,-45.24,36.95,86,8,3.06,1602704786
US,Fairbanks,64.84,-147.72,24.01,62,75,8.05,1602704781
RU,Nikolskoye,59.7,30.79,46.4,70,90,11.18,1602704787
US,Fortuna,40.6,-124.16,63.0,82,75,12.75,1602704787
RU,Chokurdakh,70.63,147.92,19.83,98,92,2.28,1602704787
AR,Dolores,-36.31,-57.68,66.0,57,0,18.25,1602704788
RU,Pevek,69.7,170.31,33.21,88,100,18.21,1602704788
PT,Camacha,33.08,-16.33,68.0,88,40,11.41,1602704789
AO,Luanda,-8.84,13.23,75.2,78,20,10.29,1602704789
NO,Honningsvåg,70.98,25.97,39.2,80,75,17.22,1602704789
PG,Popondetta,-8.75,148.25,71.01,92,80,2.95,1602704789
CA,Aklavik,68.22,-135.01,23.0,79,40,3.62,1602704790
AU,Narrabri,-30.32,149.78,50.0,66,0,5.82,1602704791
MG,Farafangana,-22.82,47.83,71.98,92,88,11.32,1602704791
BR,Cidreira,-30.18,-50.21,64.17,73,30,9.75,1602704791
BR,Niquelândia,-14.47,-48.46,89.31,36,52,3.4,1602704792
PE,Lima,-12.04,-77.03,64.4,72,90,9.17,1602704612
CL,Calama,-22.47,-68.93,75.2,13,0,24.16,1602704793
MV,Kulhudhuffushi,6.62,73.07,82.02,79,96,23.91,1602704793
AR,Tres Arroyos,-38.37,-60.28,58.48,45,0,14.07,1602704793
KZ,Derzhavīnsk,51.1,66.32,50.45,44,8,9.48,1602704794
MG,Ambilobe,-13.2,49.05,74.43,67,30,4.0,1602704794
NA,Oranjemund,-28.55,16.43,66.83,53,0,7.14,1602704795
US,Avera,33.19,-82.53,82.4,48,1,4.7,1602704796
CN,Nanpiao,41.1,120.75,43.5,67,40,3.4,1602704796
CN,Genhe,50.78,121.52,19.27,89,0,3.29,1602704796
BR,Santa Isabel Rio Negro,-0.41,-65.02,84.92,66,82,8.41,1602704796
AO,Soyo,-6.13,12.37,75.97,78,96,7.18,1602704799
PE,Talara,-4.58,-81.27,75.2,69,18,11.41,1602704799
NA,Gobabis,-22.45,18.97,74.05,20,0,12.17,1602704799
PG,Namatanai,-3.67,152.43,77.68,81,52,3.74,1602704799
MG,Fenoarivo,-18.93,47.44,66.2,77,75,10.29,1602704800
AU,Esperance,-33.87,121.9,57.2,100,90,9.17,1602704800
BR,Maués,-3.38,-57.72,91.87,45,100,2.66,1602704800
BR,Guarapari,-20.67,-40.5,82.99,81,77,8.99,1602704545
CA,Matagami,49.75,-77.63,51.8,50,90,6.93,1602704800
BR,Vila Velha,-20.33,-40.29,84.2,74,20,14.99,1602704547
LV,Preiļi,56.29,26.72,49.15,95,100,11.54,1602704801
FR,Arrondissement de Bastia,42.67,9.33,57.0,93,49,3.36,1602704801
AU,Mount Isa,-20.73,139.5,75.2,44,75,9.17,1602704801
MU,Quatre Cocos,-20.21,57.76,73.99,83,20,5.82,1602704802
RU,Cherskiy,68.75,161.3,30.69,93,64,8.75,1602704802
MN,Erdenet,49.03,104.08,28.53,87,61,2.21,1602704802
CL,Constitución,-35.33,-72.42,59.58,75,6,4.63,1602704802
PG,Angoram,-4.06,144.07,73.47,97,84,1.79,1602704803
JP,Shingū,33.73,135.98,60.84,81,9,5.37,1602704803
FO,Klaksvík,62.23,-6.59,44.6,81,42,2.24,1602704803
ET,Gewanē,10.17,40.65,88.72,25,11,3.89,1602704804
BF,Batié,9.88,-2.92,79.81,68,42,3.98,1602704804
PT,Lagoa,39.05,-27.98,69.06,80,60,9.28,1602704628
MY,Mersing,2.43,103.84,78.8,88,100,2.24,1602704804
CN,Juegang,32.32,121.19,64.38,74,91,14.52,1602704805
PG,Kieta,-6.22,155.63,78.98,81,100,1.68,1602704805
CA,Thompson,55.74,-97.86,32.0,90,90,17.22,1602704805
MX,Hidalgo,20.5,-99.0,72.16,55,16,9.73,1602704805
RU,Davenda,53.56,119.32,20.21,89,0,3.2,1602704806
CA,Watrous,51.67,-105.47,38.1,61,100,16.8,1602704806
GL,Kangaatsiaq,68.31,-53.46,35.55,95,97,7.31,1602704806
CL,Diego de Almagro,-26.37,-70.05,78.94,16,0,13.04,1602704806
RU,Anadyr,64.75,177.48,37.4,86,20,8.95,1602704807
PE,Chimbote,-9.09,-78.58,68.61,69,10,10.49,1602704807
ZM,Namwala,-15.75,26.44,77.38,47,0,8.21,1602704807
SA,Buraidah,26.33,43.98,75.2,29,0,4.7,1602704726
GF,Mana,5.66,-53.78,84.43,68,0,11.72,1602704808
BB,Bathsheba,13.22,-59.52,86.0,74,75,9.17,1602704808
CA,Iqaluit,63.75,-68.51,35.6,97,90,21.92,1602704808
RU,Pavlovsk,50.46,40.11,55.8,78,16,6.76,1602704808
TL,Airai,-8.93,125.41,61.0,65,88,2.24,1602704620
US,Juneau,58.3,-134.42,44.6,81,90,5.82,1602704739
CA,Swift Current,50.28,-107.8,35.6,43,1,19.46,1602704809
JP,Mombetsu,44.35,143.35,41.0,77,100,3.0,1602704587
BR,São José da Coroa Grande,-8.9,-35.15,78.06,76,71,11.03,1602704810
US,Rochester,43.15,-77.62,64.99,29,40,5.82,1602704098
US,San Ramon,37.78,-121.98,91.0,23,1,10.29,1602704810
CN,Erenhot,43.65,111.98,39.15,65,0,7.9,1602704810
IN,Maindargi,17.47,76.3,72.95,96,100,8.77,1602704810
RU,Ust-Nera,64.57,143.2,25.63,87,89,3.04,1602704811
MZ,Inhambane,-23.86,35.38,71.6,78,40,9.17,1602704811
CA,Inuvik,68.35,-133.72,21.2,92,75,3.36,1602704584
GB,Margate,51.38,1.39,60.01,62,100,10.0,1602704811
US,Ponca City,36.71,-97.09,90.0,31,1,13.87,1602704543
ID,Rantauprapat,2.1,99.83,73.51,94,100,2.19,1602704812
RU,Shagonar,51.53,92.8,37.98,72,92,1.28,1602704812
RU,Chegdomyn,51.12,133.02,24.89,85,91,4.63,1602704812
CN,Zhangye,38.93,100.45,40.8,57,0,1.34,1602704812
RU,Turukhansk,65.82,87.98,23.43,97,67,6.17,1602704813
CN,Kumul,42.8,93.45,44.92,55,0,11.81,1602704813
NZ,Tuatapere,-46.13,167.68,37.99,93,0,1.99,1602704574
US,Brownwood,31.71,-98.99,93.2,28,1,12.75,1602704814
JP,Itoman,26.12,127.67,77.0,83,20,8.05,1602704814
RU,Mikun',62.35,50.08,30.83,95,0,2.01,1602704814
AU,Geraldton,-28.77,114.6,53.6,87,75,10.29,1602704815
AU,Alyangula,-13.85,136.42,73.4,100,4,10.18,1602704650
MG,Ifanadiana,-21.3,47.63,68.04,91,100,1.32,1602704815
BR,Trairi,-3.28,-39.27,81.45,69,66,13.85,1602704815
MR,Atar,20.52,-13.05,90.66,35,65,7.9,1602704815
VU,Isangel,-19.55,169.27,77.18,82,99,8.1,1602704816
JP,Namie,37.48,141.0,60.01,98,82,2.86,1602704816
RU,Tiksi,71.69,128.87,10.67,92,0,2.46,1602704816
RU,Sobolevo,54.43,31.9,51.94,93,59,8.72,1602704816
CD,Mwene-Ditu,-7.0,23.45,68.9,89,8,1.61,1602704817
TH,Wang Saphung,17.3,101.77,73.54,89,97,0.67,1602704817
SA,Sakakah,29.97,40.21,80.6,25,30,5.82,1602704817
RU,Churapcha,62.0,132.43,13.06,96,91,2.39,1602704818
AR,Rawson,-43.3,-65.1,63.18,27,0,16.62,1602704818
EG,Abnūb,27.27,31.15,78.8,57,2,12.75,1602704818
ML,Tessalit,20.2,1.01,89.94,12,0,12.59,1602704788
NZ,Wanaka,-44.7,169.15,37.0,68,21,1.01,1602704610
IN,Leh,34.17,77.58,39.06,55,0,3.51,1602704819
RU,Leningradskiy,69.38,178.42,30.61,93,100,9.62,1602704820
RU,Oktyabr'skiy,54.48,53.47,49.62,46,95,8.48,1602704820
BW,Kanye,-24.97,25.33,71.55,34,0,7.18,1602704821
TZ,Kiratu,-3.33,35.67,66.61,65,11,8.08,1602704821
RU,Talnakh,69.49,88.4,23.0,100,75,13.42,1602704821
EG,Aswān,24.09,32.91,87.22,20,0,6.04,1602704822
BR,Almeirim,-1.52,-52.58,94.39,38,100,6.93,1602704822
IS,Hofn,64.25,-15.21,46.4,87,90,3.36,1602704822
GL,Sisimiut,66.94,-53.67,34.36,93,100,2.37,1602704823
ID,Labuhan,-6.88,112.21,79.32,80,29,9.17,1602704823
AO,Menongue,-14.66,17.69,70.61,55,80,4.18,1602704823
BR,Carutapera,-1.2,-46.02,84.07,64,87,10.13,1602704823
NZ,Takaka,-40.85,172.8,51.01,65,79,7.0,1602704824
CA,Sioux Lookout,50.1,-91.92,42.8,81,90,4.7,1602704824
US,Half Moon Bay,37.46,-122.43,84.0,64,1,17.22,1602704581
PL,Wolsztyn,52.12,16.12,48.2,93,90,4.7,1602704824
US,Hamilton,39.18,-84.53,75.99,36,1,10.29,1602704703
BR,Belmonte,-15.86,-38.88,80.6,61,8,16.11,1602704825
RU,Kachug,53.96,105.88,28.76,96,78,3.85,1602704825
US,Milledgeville,33.08,-83.23,82.4,51,1,5.08,1602704825
ID,Manggar,-2.88,108.27,77.18,85,100,9.93,1602704825
ID,Pemangkat,1.17,108.97,77.13,87,100,5.06,1602704826
US,Portland,45.52,-122.68,62.01,72,75,5.82,1602704221
NO,Sistranda,63.73,8.83,46.4,87,75,9.17,1602704658
BR,Espinosa,-14.93,-42.82,87.51,29,15,6.22,1602704826
SO,Oddur,4.12,43.89,76.59,74,100,11.01,1602704827
US,Lincoln,40.8,-96.67,77.0,23,1,12.75,1602704765
CN,Danshui,22.8,114.47,78.01,99,100,25.01,1602704827
CO,Norcasia,5.58,-74.89,81.82,63,28,3.38,1602704827
GL,Ilulissat,69.22,-51.1,27.63,93,90,1.07,1602704827
LY,Ubari,26.59,12.78,78.57,27,0,5.57,1602704828
RU,Ostrovnoy,68.05,39.51,34.84,89,100,9.31,1602704828
GH,Takoradze,4.88,-1.76,77.2,89,8,9.6,1602704828
CA,Port Hardy,50.7,-127.42,50.0,93,75,6.93,1602704702
TZ,Micheweni,-4.97,39.83,79.43,79,0,11.21,1602704828
PF,Faanui,-16.48,-151.75,78.44,81,8,11.59,1602704829
TZ,Naberera,-4.2,36.93,64.83,80,0,12.06,1602704829
CL,Talcahuano,-36.72,-73.12,60.8,67,0,16.11,1602704829
RU,Khandyga,62.67,135.6,20.7,95,90,2.89,1602704830
VN,Vung Tau,10.35,107.08,79.59,85,100,20.8,1602704585
JP,Shimoda,34.67,138.95,61.0,77,100,11.21,1602704830
RU,Spornoye,50.84,37.29,62.6,72,75,8.95,1602704830
CR,Puerto Limón,10.0,-83.03,80.6,83,90,4.7,1602704831
JP,Katsuura,35.13,140.3,66.2,77,75,13.87,1602704831
CN,Zhuhai,22.28,113.57,78.8,83,40,17.22,1602704831
PG,Kimbe,-5.55,150.14,72.9,86,88,4.0,1602704831
GL,Paamiut,61.99,-49.67,37.76,87,92,9.42,1602704832
IN,Khawhai,23.37,93.12,59.83,100,83,1.79,1602704832
ES,Baza,37.49,-2.77,57.0,55,0,7.14,1602704832
AO,Longonjo,-12.91,15.25,66.72,76,98,1.34,1602704832
GA,Makokou,0.57,12.86,68.88,96,19,1.21,1602704833
IR,Qūchān,37.11,58.51,44.62,51,0,6.02,1602704833
SD,Umm Kaddadah,13.6,26.69,90.9,12,63,8.14,1602704833
RU,Toora-Khem,52.47,96.11,27.36,96,0,2.62,1602704833
ID,Manokwari,-0.87,134.08,79.97,77,100,6.49,1602704833
RU,Bogorodskoye,56.55,37.88,52.86,95,92,9.4,1602704834
NZ,Ngunguru,-35.62,174.5,54.0,90,2,7.0,1602704834
US,Saint Anthony,45.02,-93.22,62.01,51,1,16.11,1602704662
SE,Kiruna,67.86,20.23,33.8,93,100,3.36,1602704834
RU,Yar-Sale,66.83,70.83,31.23,92,27,12.68,1602704835
ZM,Kabompo,-13.59,24.2,67.75,82,100,3.13,1602704835
RU,Tinskoy,56.15,96.92,36.59,83,57,10.67,1602704726
